movie_id_x,movie_title_x,original_title,runtime_minutes,averagerating,numvotes,primary_genre,movie_id2,id,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross
tt0398286,tangled,tangled,100.0,7.8,366366,adventure,tangled2010,15,2010-11-24,260000000,200821936,586477240,385655304
tt0443272,lincoln,lincoln,150.0,7.4,228701,biography,lincoln2012,73,2012-11-09,65000000,182207973,273346281,91138308
tt0453562,42,42,128.0,7.5,77703,biography,422013,22,2013-04-12,31000000,95020213,97470701,2450488
tt0466893,margaret,margaret,150.0,6.5,14708,drama,margaret2011,27,2011-09-30,14000000,47185,623292,576107
tt0477080,unstoppable,unstoppable,98.0,6.8,173019,action,unstoppable2010,19,2010-11-12,95000000,81562942,165720921,84157979
tt0490215,silence,silence,161.0,7.2,85242,adventure,silence2016,42,2016-12-23,46500000,7100177,23726626,16626449
tt0493405,chips,chips,100.0,6.0,37029,action,chips2017,53,2017-03-24,25000000,18600152,23190292,4590140
tt0498381,rings,rings,102.0,4.5,34151,drama,rings2017,38,2017-02-03,25000000,27793018,82917283,55124265
tt0780504,drive,drive,100.0,7.8,521495,crime,drive2011,36,2011-09-16,15000000,35060689,81357930,46297241
tt0800369,thor,thor,115.0,7.0,683264,action,thor2011,70,2011-05-06,150000000,181030624,449326618,268295994
tt0803096,warcraft,warcraft,123.0,6.9,225557,action,warcraft2016,46,2016-06-10,160000000,47225655,425522281,378296626
tt0816692,interstellar,interstellar,169.0,8.6,1299334,adventure,interstellar2014,32,2014-11-05,165000000,188017894,666379375,478361481
tt0817177,flipped,flipped,90.0,7.7,74937,comedy,flipped2010,22,2010-08-06,14000000,1755212,4289993,2534781
tt0822847,priest,priest,87.0,5.7,108320,action,priest2011,29,2011-05-13,60000000,29136626,84154026,55017400
tt0831387,godzilla,godzilla,123.0,6.4,350687,action,godzilla2014,41,2014-05-16,160000000,200676069,529076069,328400000
tt0848537,epic,epic,102.0,6.7,95318,adventure,epic2013,77,2013-05-24,100000000,107518682,262794441,155275759
tt0881320,sanctum,sanctum,108.0,5.9,51318,adventure,sanctum2011,45,2011-02-04,30000000,23209310,108957098,85747788
tt0882977,snitch,snitch,112.0,6.5,78142,action,snitch2013,26,2013-02-22,15000000,42930462,57907734,14977272
tt0944835,salt,salt,100.0,6.4,277204,action,salt2010,50,2010-07-23,130000000,118311368,290650494,172339126
tt0970179,hugo,hugo,126.0,7.5,284869,adventure,hugo2011,89,2011-11-23,180000000,73864507,180047784,106183277
tt0985694,machete,machete,105.0,6.6,182320,action,machete2010,18,2010-09-03,12500000,26593646,46370970,19777324
tt0993842,hanna,hanna,111.0,6.8,179178,action,hanna2011,14,2011-04-08,30000000,40259119,65343694,25084575
tt1001526,megamind,megamind,95.0,7.3,207488,action,megamind2010,47,2010-11-05,130000000,148415853,321887208,173471355
tt1020558,centurion,centurion,97.0,6.4,74085,action,centurion2010,46,2010-08-27,15000000,123570,7885048,7761478
tt1024648,argo,argo,120.0,7.7,534683,biography,argo2012,27,2012-10-12,44500000,136025503,227140757,91115254
tt1028576,secretariat,secretariat,123.0,7.2,24536,biography,secretariat2010,53,2010-10-08,35000000,59699513,60376247,676734
tt1029360,poltergeist,poltergeist,93.0,4.9,51538,horror,poltergeist2015,62,2015-05-22,35000000,47425125,95713069,48287944
tt1034415,suspiria,suspiria,152.0,6.8,37360,fantasy,suspiria2018,81,2018-10-26,20000000,2483472,7034615,4551143
tt1038686,legion,legion,100.0,5.2,92709,action,legion2010,37,2010-01-22,26000000,40168080,67647574,27479494
tt1051904,goosebumps,goosebumps,103.0,6.3,72858,adventure,goosebumps2015,58,2015-10-16,58000000,80069458,158905324,78835866
tt1065073,boyhood,boyhood,165.0,7.9,315584,drama,boyhood2014,85,2014-07-11,4000000,25379975,57273049,31893074
tt1068242,footloose,footloose,113.0,5.9,43251,comedy,footloose2011,39,2011-10-14,24000000,51802742,62989834,11187092
tt1072748,winchester,winchester,99.0,5.4,24351,biography,winchester2018,95,2018-02-02,3500000,25091816,44378040,19286224
tt1074638,skyfall,skyfall,143.0,7.8,592221,action,skyfall2012,52,2012-11-08,200000000,304360277,1110526981,806166704
tt1086772,blended,blended,117.0,6.5,106491,comedy,blended2014,90,2014-05-23,45000000,46290741,127990741,81700000
tt1092026,paul,paul,104.0,7.0,220567,adventure,paul2011,58,2011-03-18,40000000,37412945,101162106,63749161
tt1103153,killers,killers,100.0,5.4,82237,action,killers2010,54,2010-06-04,75000000,47059963,95572749,48512786
tt1126591,burlesque,burlesque,119.0,6.4,71021,drama,burlesque2010,24,2010-11-24,55000000,39440655,90552675,51112020
tt1129412,circle,circle,88.0,3.4,610,horror,circle2010,69,2010-08-27,2000000,10024,10024,0
tt1135084,takers,takers,107.0,6.2,53377,action,takers2010,95,2010-08-27,32000000,57744720,70587268,12842548
tt1142977,frankenweenie,frankenweenie,87.0,7.0,89489,animation,frankenweenie2012,48,2012-10-05,39000000,35287788,81150788,45863000
tt1152398,beastly,beastly,86.0,5.6,72599,drama,beastly2011,87,2011-03-04,17000000,27865571,38028230,10162659
tt1152822,freakonomics,freakonomics,93.0,6.4,6466,documentary,freakonomics2010,80,2010-10-01,2900000,101270,172867,71597
tt1192628,rango,rango,107.0,7.2,215761,adventure,rango2011,29,2011-03-04,135000000,123477607,245724600,122246993
tt1198101,kites,kites,123.0,6.1,11353,action,kites2010,66,2010-05-21,9200000,1685269,17155193,15469924
tt1204977,ouija,ouija,89.0,4.5,44054,horror,ouija2014,60,2014-10-24,5000000,50856010,103300632,52444622
tt1210166,moneyball,moneyball,133.0,7.6,326657,biography,moneyball2011,15,2011-09-23,50000000,75605492,111300835,35695343
tt1212419,hereafter,hereafter,129.0,6.5,87288,drama,hereafter2010,61,2010-10-15,50000000,32746941,108660270,75913329
tt1212450,lawless,lawless,116.0,7.3,214055,crime,lawless2012,38,2012-08-29,26000000,37397291,54393687,16996396
tt1217209,brave,brave,93.0,7.1,338728,adventure,brave2012,77,2012-06-22,185000000,237282182,554606532,317324350
tt1219289,limitless,limitless,105.0,7.4,492490,mystery,limitless2011,91,2011-03-18,27000000,79249455,155564919,76315464
tt1222817,zookeeper,zookeeper,102.0,5.2,52396,comedy,zookeeper2011,71,2011-07-08,80000000,80360866,170805525,90444659
tt1232775,drones,drones,98.0,6.4,483,comedy,drones2010,72,2010-12-31,500000,0,0,0
tt1233301,ironclad,ironclad,121.0,6.2,38477,action,ironclad2011,25,2011-07-08,25000000,0,5297411,5297411
tt1234721,robocop,robocop,117.0,6.2,205798,action,robocop2014,96,2014-02-12,120000000,58607007,242981799,184374792
tt1243974,aloha,aloha,105.0,5.4,54646,comedy,aloha2015,3,2015-05-29,37000000,21052030,25387091,4335061
tt1244754,conviction,conviction,107.0,7.2,39771,biography,conviction2010,28,2010-10-15,12500000,6797696,11826980,5029284
tt1245526,red,red,111.0,7.1,271570,action,red2010,63,2010-10-15,60000000,90380162,196439693,106059531
tt1253864,immortals,immortals,110.0,6.0,152992,action,immortals2011,45,2011-11-11,75000000,83504017,211562435,128058418
tt1255953,incendies,incendies,131.0,8.3,124156,drama,incendies2010,76,2010-09-17,6800000,6857096,16038343,9181247
tt1267297,hercules,hercules,98.0,6.0,137287,action,hercules2014,84,2014-07-25,100000000,72688614,243388614,170700000
tt1270797,venom,venom,112.0,6.7,275406,action,venom2018,3,2018-10-05,116000000,213511408,853628605,640117197
tt1276104,looper,looper,113.0,7.4,500595,action,looper2012,69,2012-09-28,30000000,66486205,170466405,103980200
tt1289401,ghostbusters,ghostbusters,116.0,5.2,186788,action,ghostbusters2016,4,2016-07-15,144000000,128350574,229008658,100658084
tt1291584,warrior,warrior,140.0,8.2,403755,drama,warrior2011,74,2011-09-09,25000000,13657115,24215385,10558270
tt1314655,devil,devil,80.0,6.2,122080,horror,devil2010,71,2010-09-17,10000000,33679655,63354114,29674459
tt1327709,cyrus,cyrus,87.0,4.7,944,crime,cyrus2010,27,2010-06-18,7000000,7468936,10062896,2593960
tt1334512,arthur,arthur,110.0,5.7,49013,comedy,arthur2011,67,2011-04-08,40000000,33035397,47787943,14752546
tt1336617,cyrus,cyrus,91.0,6.3,32457,comedy,cyrus2010,27,2010-06-18,7000000,7468936,10062896,2593960
tt1342096,butterfly,butterfly,90.0,4.7,53,horror,butterfly2010,98,2010-12-31,250000,0,0,0
tt1343727,dredd,dredd,95.0,7.1,234616,action,dredd2012,15,2012-09-21,45000000,13414714,41467606,28052892
tt1355644,passengers,passengers,116.0,7.0,311083,drama,passengers2016,28,2016-12-21,110000000,100014699,302239672,202224973
tt1360826,rust,rust,95.0,5.6,404,drama,rust2010,93,2010-10-05,250000,0,0,0
tt1375666,inception,inception,148.0,8.8,1841066,action,inception2010,38,2010-07-16,160000000,292576195,835524642,542948447
tt1376195,gunless,gunless,89.0,6.5,3376,action,gunless2010,49,2010-04-30,9900000,458054,458054,0
tt1389072,downsizing,downsizing,135.0,5.7,74815,drama,downsizing2017,62,2017-12-22,68000000,24449754,54462971,30013217
tt1392197,marmaduke,marmaduke,87.0,4.2,13283,comedy,marmaduke2010,59,2010-06-04,50000000,33644788,89895930,56251142
