movie_id_x,movie_title_x,original_title_x,runtime_minutes,genres,averagerating,numvotes,primary_genre_x,movie_id2,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count
tt0069049,the other side of the wind,the other side of the wind,122.0,drama,6.9,4517,drama,theothersideofthewind2018,"35, 18",299782,en,9.8,2018-11-02,7.0,64
tt0192528,heaven & hell,reverse heaven,104.0,drama,4.0,72,drama,heavenhell2018,18,567662,en,0.6,2018-11-06,7.5,2
tt0255820,return to babylon,return to babylon,75.0,"biography,comedy,drama",5.9,123,biography,returntobabylon2013,"35, 18",323498,en,0.877,2013-08-11,7.0,1
tt0315642,wazir,wazir,103.0,"action,crime,drama",7.1,15378,action,wazir2016,"53, 28, 80, 18, 9648",275269,hi,3.881,2016-01-08,6.6,63
tt0326965,in my sleep,in my sleep,104.0,"drama,mystery,thriller",5.5,1889,drama,inmysleep2010,"53, 9648",40048,en,1.795,2010-04-23,5.4,20
tt0331314,bunyan and babe,bunyan and babe,84.0,"adventure,animation,comedy",5.0,302,adventure,bunyanandbabe2017,"12, 16, 35, 10751, 14",435995,en,2.051,2017-01-12,6.2,9
tt0337692,on the road,on the road,124.0,"adventure,drama,romance",6.1,37886,adventure,ontheroad2012,"12, 18",83770,en,8.919,2012-12-21,5.6,518
tt0359950,the secret life of walter mitty,the secret life of walter mitty,114.0,"adventure,comedy,drama",7.3,275300,adventure,thesecretlifeofwaltermitty2013,"12, 35, 18, 14",116745,en,10.743,2013-12-25,7.1,4859
tt0360556,fahrenheit 451,fahrenheit 451,100.0,"drama,sci-fi,thriller",4.9,14469,drama,fahrenheit4512018,"18, 878, 53",401905,en,11.657,2018-06-18,5.4,362
tt0365545,nappily ever after,nappily ever after,98.0,"comedy,drama,romance",6.4,6287,comedy,nappilyeverafter2018,"35, 10749",519035,en,12.057,2018-09-21,7.3,549
tt0365907,a walk among the tombstones,a walk among the tombstones,114.0,"action,crime,drama",6.5,105116,action,awalkamongthetombstones2014,"80, 18, 9648, 53",169917,en,19.373,2014-09-19,6.3,1685
tt0369610,jurassic world,jurassic world,124.0,"action,adventure,sci-fi",7.0,539338,action,jurassicworld2015,"28, 12, 878, 53",135397,en,20.709,2015-06-12,6.6,14056
tt0372538,spy,spy,110.0,"action,crime,drama",6.6,78,action,spy2011,"28, 80, 18, 9648, 53",323867,en,1.4,2011-08-09,7.0,1
tt0376136,the rum diary,the rum diary,119.0,"comedy,drama",6.2,94787,comedy,therumdiary2011,"18, 35",23514,en,12.011,2011-10-27,5.7,652
tt0376479,american pastoral,american pastoral,108.0,"crime,drama",6.1,12898,crime,americanpastoral2016,"80, 18",326285,en,7.782,2016-10-21,6.0,339
tt0377981,gnomeo & juliet,gnomeo & juliet,84.0,"adventure,animation,comedy",6.0,49550,adventure,gnomeojuliet2011,"16, 10751",45772,en,16.408,2011-02-11,5.8,1085
tt0383010,the three stooges,the three stooges,92.0,"comedy,family",5.1,28570,comedy,thethreestooges2012,35,76489,en,9.358,2012-04-13,5.1,215
tt0393049,anderson's cross,anderson's cross,98.0,"comedy,drama,romance",5.5,106,comedy,andersonscross2010,"10749, 35, 18",324352,en,0.6,2010-05-20,5.0,1
tt0398286,tangled,tangled,100.0,"adventure,animation,comedy",7.8,366366,adventure,tangled2010,"16, 10751",38757,en,21.511,2010-11-24,7.5,6407
tt0401729,john carter,john carter,132.0,"action,adventure,sci-fi",6.6,241792,action,johncarter2012,"28, 12, 878",49529,en,18.549,2012-03-09,6.1,3338
tt0404978,gambit,gambit,89.0,"comedy,crime",5.7,22148,comedy,gambit2012,"35, 80",97434,en,8.353,2012-04-25,5.2,366
tt0409847,cowboys & aliens,cowboys & aliens,119.0,"action,sci-fi,thriller",6.0,195889,action,cowboysaliens2011,"28, 878, 53, 37",49849,en,16.293,2011-07-29,5.5,3110
tt0419692,disconnect,disconnect,112.0,"drama,mystery,sci-fi",4.5,190,drama,disconnect2010,"53, 9648, 80, 878",200094,en,0.706,2010-08-06,6.7,3
tt0420293,the stanford prison experiment,the stanford prison experiment,122.0,"biography,drama,history",6.9,32591,biography,thestanfordprisonexperiment2015,"53, 18",308032,en,8.239,2015-07-17,6.9,548
tt0423474,venus & vegas,venus & vegas,95.0,"action,comedy,crime",4.2,468,action,venusvegas2010,"28, 35",68716,en,2.362,2010-11-01,3.7,14
tt0427152,dinner for schmucks,dinner for schmucks,114.0,comedy,5.9,91546,comedy,dinnerforschmucks2010,35,38778,en,6.632,2010-07-30,5.6,920
tt0429493,the a-team,the a-team,117.0,"action,adventure,thriller",6.8,235256,action,theateam2010,"53, 28, 12, 35, 80",34544,en,17.097,2010-06-11,6.3,2703
tt0431021,the possession,the possession,92.0,"horror,mystery,thriller",5.9,53649,horror,thepossession2012,"27, 53",77883,en,8.978,2012-08-31,5.9,918
tt0433035,real steel,real steel,127.0,"action,drama,family",7.1,283534,action,realsteel2011,"28, 878, 18",39254,en,14.811,2011-10-06,6.8,4566
tt0433397,satin,satin,84.0,"comedy,drama,music",4.7,214,comedy,satin2011,"35, 18, 10749",50024,en,0.624,2011-03-01,5.0,1
tt0435651,the giver,the giver,97.0,"drama,romance,sci-fi",6.5,104999,drama,thegiver2014,"18, 878",227156,en,8.687,2014-08-11,6.5,3075
tt0435761,toy story 3,toy story 3,103.0,"adventure,animation,comedy",8.3,682218,adventure,toystory32010,"16, 10751, 35",10193,en,24.445,2010-06-17,7.7,8340
tt0443272,lincoln,lincoln,150.0,"biography,drama,history",7.4,228701,biography,lincoln2012,"36, 18",72976,en,12.693,2012-11-16,6.8,2261
tt0446029,scott pilgrim vs. the world,scott pilgrim vs. the world,112.0,"action,comedy,fantasy",7.5,339338,action,scottpilgrimvstheworld2010,"28, 35, 10749",22538,en,14.383,2010-08-13,7.3,3882
tt0448022,a bird of the air,a bird of the air,108.0,"drama,romance",6.6,1061,drama,abirdoftheair2011,"18, 10749",70736,en,4.568,2011-09-23,6.0,13
tt0448694,puss in boots,puss in boots,90.0,"action,adventure,animation",6.6,133355,action,pussinboots2011,"28, 12, 16, 10751, 14, 35",417859,en,9.078,2011-10-28,6.3,1422
tt0451154,the passing,the passing,92.0,horror,3.4,174,horror,thepassing2011,27,77551,en,2.038,2011-05-20,3.3,4
tt0451201,clawed,sludge,95.0,horror,5.8,363,horror,clawed2017,27,477342,en,0.6,2017-09-19,1.0,1
tt0451279,wonder woman,wonder woman,141.0,"action,adventure,fantasy",7.5,487527,action,wonderwoman2017,"12, 14, 10752, 10749",297762,en,31.618,2017-06-02,7.3,12566
tt0452183,blunt movie,blunt movie,83.0,"comedy,romance",6.4,77,comedy,bluntmovie2013,35,439174,en,0.955,2013-04-20,4.5,2
tt0453562,42,42,128.0,"biography,drama,sport",7.5,77703,biography,422013,18,109410,en,11.28,2013-04-12,7.0,1028
tt0454876,life of pi,life of pi,127.0,"adventure,drama,fantasy",7.9,535836,adventure,lifeofpi2012,"12, 18, 28",87827,en,15.0,2012-11-21,7.3,8723
tt0455323,being flynn,being flynn,102.0,drama,6.4,15780,drama,beingflynn2012,18,78571,en,7.293,2012-03-02,6.2,128
tt0455407,the crazies,the crazies,101.0,"horror,thriller",6.5,104465,horror,thecrazies2010,"9648, 27, 28",29427,en,12.246,2010-02-26,6.2,1036
tt0455944,the equalizer,the equalizer,132.0,"action,crime,thriller",7.2,302302,action,theequalizer2014,"53, 28, 80",156022,en,28.942,2014-09-26,7.2,4989
tt0458339,captain america: the first avenger,captain america: the first avenger,124.0,"action,adventure,sci-fi",6.9,668137,action,captainamericathefirstavenger2011,"28, 12, 878",1771,en,25.808,2011-07-22,6.9,12810
tt0458413,a long way down,a long way down,96.0,"comedy,drama",6.4,29260,comedy,alongwaydown2014,"35, 18",141043,en,6.762,2014-06-05,6.2,529
tt0458481,sin city: a dame to kill for,sin city: a dame to kill for,102.0,"crime,thriller",6.5,140666,crime,sincityadametokillfor2014,"80, 53",189,en,20.896,2014-08-22,6.3,2210
