id,release_date,movie_title,production_budget,domestic_gross,worldwide_gross,release_year,foreign_gross,movie_id,movie_id2
1,2009-12-18,avatar,425000000,760507625,2776345279,2009,2015837654,avatar20091218,avatar2009
2,2011-05-20,pirates of the caribbean: on stranger tides,410600000,241063875,1045663875,2011,804600000,piratesofthecaribbeanonstrangertides20110520,pirates of the caribbean: on stranger tides2011
3,2019-06-07,dark phoenix,350000000,42762350,149762350,2019,107000000,darkphoenix20190607,dark phoenix2019
4,2015-05-01,avengers: age of ultron,330600000,459005868,1403013963,2015,944008095,avengersageofultron20150501,avengers: age of ultron2015
5,2017-12-15,star wars ep. viii: the last jedi,317000000,620181382,1316721747,2017,696540365,starwarsepviiithelastjedi20171215,star wars ep. viii: the last jedi2017
6,2015-12-18,star wars ep. vii: the force awakens,306000000,936662225,2053311220,2015,1116648995,starwarsepviitheforceawakens20151218,star wars ep. vii: the force awakens2015
7,2018-04-27,avengers: infinity war,300000000,678815482,2048134200,2018,1369318718,avengersinfinitywar20180427,avengers: infinity war2018
8,2007-05-24,pirates of the caribbean: at worldâs end,300000000,309420425,963420425,2007,654000000,piratesofthecaribbeanatworldâsend20070524,pirates of the caribbean: at worldâs end2007
9,2017-11-17,justice league,300000000,229024295,655945209,2017,426920914,justiceleague20171117,justice league2017
10,2015-11-06,spectre,300000000,200074175,879620923,2015,679546748,spectre20151106,spectre2015
11,2012-07-20,the dark knight rises,275000000,448139099,1084439099,2012,636300000,thedarkknightrises20120720,the dark knight rises2012
12,2018-05-25,solo: a star wars story,275000000,213767512,393151347,2018,179383835,soloastarwarsstory20180525,solo: a star wars story2018
13,2013-07-02,the lone ranger,275000000,89302115,260002115,2013,170700000,theloneranger20130702,the lone ranger2013
14,2012-03-09,john carter,275000000,73058679,282778100,2012,209719421,johncarter20120309,john carter2012
15,2010-11-24,tangled,260000000,200821936,586477240,2010,385655304,tangled20101124,tangled2010
16,2007-05-04,spider-man 3,258000000,336530303,894860230,2007,558329927,spiderman320070504,spider-man 32007
17,2016-05-06,captain america: civil war,250000000,408084349,1140069413,2016,731985064,captainamericacivilwar20160506,captain america: civil war2016
18,2016-03-25,batman v superman: dawn of justice,250000000,330360194,867500281,2016,537140087,batmanvsupermandawnofjustice20160325,batman v superman: dawn of justice2016
19,2012-12-14,the hobbit: an unexpected journey,250000000,303003568,1017003568,2012,714000000,thehobbitanunexpectedjourney20121214,the hobbit: an unexpected journey2012
20,2009-07-15,harry potter and the half-blood prince,250000000,302089278,935213767,2009,633124489,harrypotterandthehalfbloodprince20090715,harry potter and the half-blood prince2009
21,2013-12-13,the hobbit: the desolation of smaug,250000000,258366855,960366855,2013,702000000,thehobbitthedesolationofsmaug20131213,the hobbit: the desolation of smaug2013
22,2014-12-17,the hobbit: the battle of the five armies,250000000,255119788,945577621,2014,690457833,thehobbitthebattleofthefivearmies20141217,the hobbit: the battle of the five armies2014
23,2017-04-14,the fate of the furious,250000000,225764765,1234846267,2017,1009081502,thefateofthefurious20170414,the fate of the furious2017
24,2006-06-28,superman returns,232000000,200120000,374085065,2006,173965065,supermanreturns20060628,superman returns2006
25,2017-05-26,pirates of the caribbean: dead men tell no tales,230000000,172558876,788241137,2017,615682261,piratesofthecaribbeandeadmentellnotales20170526,pirates of the caribbean: dead men tell no tales2017
26,2008-11-14,quantum of solace,230000000,169368427,591692078,2008,422323651,quantumofsolace20081114,quantum of solace2008
27,2012-05-04,the avengers,225000000,623279547,1517935897,2012,894656350,theavengers20120504,the avengers2012
28,2006-07-07,pirates of the caribbean: dead manâs chest,225000000,423315812,1066215812,2006,642900000,piratesofthecaribbeandeadmanâschest20060707,pirates of the caribbean: dead manâs chest2006
29,2013-06-14,man of steel,225000000,291045518,667999518,2013,376954000,manofsteel20130614,man of steel2013
30,2008-05-16,the chronicles of narnia: prince caspian,225000000,141621490,417341288,2008,275719798,thechroniclesofnarniaprincecaspian20080516,the chronicles of narnia: prince caspian2008
31,2012-07-03,the amazing spider-man,220000000,262030663,757890267,2012,495859604,theamazingspiderman20120703,the amazing spider-man2012
32,2012-05-18,battleship,220000000,65233400,313477717,2012,248244317,battleship20120518,battleship2012
33,2017-06-21,transformers: the last knight,217000000,130168683,602893340,2017,472724657,transformersthelastknight20170621,transformers: the last knight2017
34,2015-06-12,jurassic world,215000000,652270625,1648854864,2015,996584239,jurassicworld20150612,jurassic world2015
35,2012-05-25,men in black 3,215000000,179020854,654213485,2012,475192631,meninblack320120525,men in black 32012
36,2009-06-24,transformers: revenge of the fallen,210000000,402111870,836519699,2009,434407829,transformersrevengeofthefallen20090624,transformers: revenge of the fallen2009
37,2014-06-27,transformers: age of extinction,210000000,245439076,1104039076,2014,858600000,transformersageofextinction20140627,transformers: age of extinction2014
38,2006-05-26,x-men: the last stand,210000000,234362462,459260946,2006,224898484,xmenthelaststand20060526,x-men: the last stand2006
39,2010-05-14,robin hood,210000000,105487148,322459006,2010,216971858,robinhood20100514,robin hood2010
40,2005-12-14,king kong,207000000,218080025,550517357,2005,332437332,kingkong20051214,king kong2005
41,2007-12-07,the golden compass,205000000,70107728,367262558,2007,297154830,thegoldencompass20071207,the golden compass2007
42,2018-02-16,black panther,200000000,700059566,1348258224,2018,648198658,blackpanther20180216,black panther2018
44,2018-06-15,incredibles 2,200000000,608581744,1242520711,2018,633938967,incredibles220180615,incredibles 22018
45,2016-12-16,rogue one: a star wars story,200000000,532177324,1049102856,2016,516925532,rogueoneastarwarsstory20161216,rogue one: a star wars story2016
