genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,primary_genre
"12, 14, 10751",12444,en,harry potter and the deathly hallows: part 1,33.533,2010-11-19,harry potter and the deathly hallows: part 1,7.7,10788,2010,adventure
"14, 12, 16, 10751",10191,en,how to train your dragon,28.734,2010-03-26,how to train your dragon,7.7,7610,2010,fantasy
"12, 28, 878",10138,en,iron man 2,28.515,2010-05-07,iron man 2,6.8,12368,2010,adventure
"28, 878, 12",27205,en,inception,27.92,2010-07-16,inception,8.3,22186,2010,action
"12, 14, 10751",32657,en,percy jackson & the olympians: the lightning thief,26.691,2010-02-11,percy jackson & the olympians: the lightning thief,6.1,4229,2010,adventure
"28, 12, 14, 878",19995,en,avatar,26.526,2009-12-18,avatar,7.4,18676,2009,action
"16, 10751, 35",10193,en,toy story 3,24.445,2010-06-17,toy story 3,7.7,8340,2010,animation
"16, 10751, 35",20352,en,despicable me,23.673,2010-07-09,despicable me,7.2,10057,2010,animation
"16, 28, 35, 10751, 878",38055,en,megamind,22.855,2010-11-04,megamind,6.8,3635,2010,animation
"10751, 14, 12",12155,en,alice in wonderland,22.02,2010-03-05,alice in wonderland,6.6,8713,2010,family
"53, 12, 28",27578,en,the expendables,21.517,2010-08-03,the expendables,6.1,4647,2010,thriller
"16, 10751",38757,en,tangled,21.511,2010-11-24,tangled,7.5,6407,2010,animation
"27, 80",41439,en,saw 3d,20.37,2010-10-28,saw: the final chapter,6.0,1488,2010,horror
"12, 14, 18, 10749",24021,en,the twilight saga: eclipse,20.34,2010-06-23,the twilight saga: eclipse,6.0,4909,2010,adventure
"28, 53, 878",20504,en,the book of eli,18.985,2010-01-11,the book of eli,6.7,3495,2010,action
"10402, 10749",52371,nl,lellebelle,18.586,2010-10-09,lellebelle,4.5,36,2010,music
"28, 18, 53",2502,en,the bourne supremacy,18.199,2004-07-23,the bourne supremacy,7.3,4367,2004,action
"18, 53, 9648",11324,en,shutter island,18.06,2010-02-18,shutter island,8.1,12625,2010,drama
"28, 18, 9648, 53",2501,en,the bourne identity,17.935,2002-06-14,the bourne identity,7.4,5406,2002,action
"28, 35",37834,en,knight and day,17.713,2010-06-23,knight and day,6.0,2494,2010,action
"12, 10751, 14",10140,en,the chronicles of narnia: the voyage of the dawn treader,17.382,2010-12-10,the chronicles of narnia: the voyage of the dawn treader,6.3,3196,2010,adventure
"18, 10749",41233,en,step up 3d,17.174,2010-08-06,step up 3d,6.7,1160,2010,drama
"53, 28, 12, 35, 80",34544,en,the a-team,17.097,2010-06-11,the a-team,6.3,2703,2010,thriller
"18, 36",45269,en,the king's speech,16.798,2010-09-06,the king's speech,7.7,5013,2010,drama
"28, 12, 10751, 14",10196,en,the last airbender,16.595,2010-07-01,the last airbender,4.6,2143,2010,action
"28, 878, 12, 53",34851,en,predators,16.216,2010-07-03,predators,6.1,1979,2010,action
18,37799,en,the social network,15.889,2010-10-01,the social network,7.2,6116,2010,drama
"28, 53",38234,en,undisputed iii: redemption,15.886,2010-05-22,undisputed iii: redemption,7.4,302,2010,action
"28, 18, 9648, 53",2503,en,the bourne ultimatum,15.62,2007-08-03,the bourne ultimatum,7.4,4440,2007,action
"12, 14, 28",18823,en,clash of the titans,15.574,2010-04-02,clash of the titans,5.7,3714,2010,adventure
